"id вопроса
",Номер билета,"Номер вопроса
(В билете)","Тема вопроса
","Картинка
(Прямая ссылка на изображение с расширением .jpg, .png)",Вопрос,Вариант1,Вариант2,Вариант3,"Вариант4
(Если варианта 4 нет,
 то не заполнять)",Правильный ответ,Подсказка,Ссылка на видеоразбор вопросов,,id темы,Тема,Количество вопросов,Изображение,Ссылка
601,24,10,Скорость движения,https://pdd-exam.ru/img/pdd-online/bilet24-10.jpg,"С какой максимальной скоростью Вы имеете право продолжить движение вне населенных пунктов на грузовом автомобиле с разрешенной максимальной массой не более 3,5 т?",60 км/ч.,70 км/ч.,90 км/ч.,,3,"Знак 3.25 «Конец зоны ограничения максимальной скорости» отменяет ранее введенное ограничение - 80 км/ч. На дорогах вне населенных пунктов, не относящихся к автомагистралям, грузовые автомобили с разрешенной максимальной массой не более 3,5 т могут двигаться со скоростью не более 90 км/ч (пункт 10.3 ПДД РФ).",https://vk.com/video-219391172_456240328?list=ln-o7rYH62WVykOk1GpSj,,,,,,
602,24,11,Обгон. Опережение. Встречный разъезд,https://pdd-exam.ru/img/pdd-online/bilet24-11.jpg,Разрешено ли Вам выполнить обгон?,Запрещено.,"Разрешено, если скорость грузового автомобиля менее 30 км/ч.",Разрешено.,,1,"Знак 3.20 ""Обгон запрещен"" запрещает обгон всех ТС, кроме тихоходных, которые обозначаются опознавательным знаком «Тихоходное транспортное средство» (Основные положения, пункт 8), а также гужевых повозок, велосипедов, мопедов и двухколесных мотоциклов без бокового прицепа.

Вопрос: Грузовик движется со скоростью менее 30 км в час. Разве он не тихоходный?
Ответ: Нигде не сказано, что тихоходными являются ТС, двигающиеся со скоростью менее 30 км/час. Тихоходными считаются ТС, у которых стоит знак ""Тихоходное транспортное средство"". Пункт 8. раздела ""ОСНОВНЫЕ ПОЛОЖЕНИЯ по допуску транспортных средств к эксплуатации ..."" .",https://vk.com/video-219391172_456240329?list=ln-05CmHdOLkbODbyy6gG,,,,,,
603,24,12,Знаки Таблички,https://pdd-exam.ru/img/pdd-online/bilet24-12.jpg,Кто из водителей нарушил правила стоянки?,Только водитель автомобиля А.,Только водитель автомобиля Б.,Оба.,Никто не нарушил.,1,"В данной ситуации необходимо руководствоваться требованием знака 6.4 «Парковка (парковочное место)» с табличкой 8.6.4 «Способ постановки транспортного средства на стоянку» (пункт 12.2 ПДД РФ). Требование заключается в том, что автомобили должны быть поставлены на стоянку перпендикулярно тротуару именно так, как это изображено на табличке 8.6.4 (Приложение 1). Следовательно, водитель автомобиля А нарушил правила стоянки.",https://vk.com/video-219391172_456240330?list=ln-VJfL7k2MSdLhIlfzGH,,,,,,
604,,,Стоянка,https://pdd-exam.ru/img/pdd-online/bilet24-12.jpg,Кто из водителей нарушил правила стоянки?,Только водитель автомобиля А.,Только водитель автомобиля Б.,Оба.,Никто не нарушил.,1,"В данной ситуации необходимо руководствоваться требованием знака 6.4 «Парковка (парковочное место)» с табличкой 8.6.4 «Способ постановки транспортного средства на стоянку» (пункт 12.2 ПДД РФ). Требование заключается в том, что автомобили должны быть поставлены на стоянку перпендикулярно тротуару именно так, как это изображено на табличке 8.6.4 (Приложение 1). Следовательно, водитель автомобиля А нарушил правила стоянки.",None,,,,,,
605,,,Проезд регулируемого перекрестка,https://pdd-exam.ru/img/pdd-online/bilet24-12.jpg,Кто из водителей нарушил правила стоянки?,Только водитель автомобиля А.,Только водитель автомобиля Б.,Оба.,Никто не нарушил.,1,"В данной ситуации необходимо руководствоваться требованием знака 6.4 «Парковка (парковочное место)» с табличкой 8.6.4 «Способ постановки транспортного средства на стоянку» (пункт 12.2 ПДД РФ). Требование заключается в том, что автомобили должны быть поставлены на стоянку перпендикулярно тротуару именно так, как это изображено на табличке 8.6.4 (Приложение 1). Следовательно, водитель автомобиля А нарушил правила стоянки.",None,,,,,,
606,24,13,Светофор и регулировщик,https://pdd-exam.ru/img/pdd-online/bilet24-13.jpg,При повороте налево Вы:,Имеете право проехать перекресток первым.,Должны уступить дорогу обоим транспортным средствам.,Должны уступить дорогу только легковому автомобилю.,,2,"Зеленый сигнал светофора дает право на движение всем трем ТС (пункт 6.2 ПДД РФ). Однако, поворачивая налево, Вы должны уступить дорогу трамваю, который имеет преимущество перед безрельсовыми ТС (пункт 13.6 ПДД РФ), а также встречному легковому автомобилю (пункт 13.4 ПДД РФ).

Вопрос: Водитель встречного автомобиля находится в таком же положении ко мне, как и я к нему, т.е. слева! Почему я должен уступать ему дорогу по умолчанию? Ведь при повороте, уступив дорогу трамваю, как я, так и встречный авто окажемся друг к другу справа.
Ответ: При повороте налево Вы должны уступить дорогу встречному автомобилю, который движется прямо. При повороте налево встречный авто окажется справа от Вас.",https://vk.com/video-219391172_456240331?list=ln-CjVPGW1ZPjbg9x8F9P,,,,,,
607,24,14,Проезд равнозначного перекрестка,https://pdd-exam.ru/img/pdd-online/bilet24-14.jpg,"Кто имеет право проехать перекресток первым, если все намерены двигаться прямо?",Вы вместе с водителем троллейбуса.,В данной ситуации очередность проезда определяется по взаимной договоренности водителей.,Водитель троллейбуса.,,2,"Проблесковый маячок оранжевого или желтого цвета не дает преимущества в движении (п. 3.4). Все ТС на перекрестке равнозначных дорог находятся в равных условиях, поскольку каждое из них должно уступить дорогу другому ТС, находящемуся справа. Действия водителей в подобной ситуации Правилами не регламентируются, поэтому они должны определить очередность проезда по взаимной договоренности.",https://vk.com/video-219391172_456240332?list=ln-4cAmrSDiLs6toKkdfC,,,,,,
608,24,15,Проезд неравнозначного перекрестка,https://pdd-exam.ru/img/pdd-online/bilet24-15.jpg,В каком случае Вы обязаны уступить дорогу пешеходам?,Только при повороте направо.,Только при повороте налево.,В обоих случаях.,,3,"На любых перекрестках при повороте как направо, так и налево, необходимо уступать дорогу пешеходам, переходящим проезжую часть дороги, на которую Вы будете поворачивать (пункт 13.1 ПДД РФ).",https://vk.com/video-219391172_456240333?list=ln-Ps631wdCDcdkKGy1f0,,,,,,
609,24,16,Специальные режимы движения,https://pdd-exam.ru/img/pdd-online/bilet24-16.jpg,В данной ситуации Вы должны остановиться:,Не ближе 10м до ближайшего рельса.,Около светофора или шлагбаума.,Не ближе 5м от светофора или шлагбаума.,,3,"При закрытом или начинающем закрываться шлагбауме (независимо от сигнала светофора) выезжать на переезд запрещено (пункт 15.3 ПДД РФ). В этом случае водитель должен остановиться у стоп-линии (разметка 1.12 ), и (или) знака 6.16 , знака 2.5 ; если знаки и разметка отсутствуют - не ближе 5 м от светофора или шлагбаума; при отсутствии светофора или шлагбаума - не ближе 10 м до ближайшего рельса (п. 15.4). Несмотря на негорящие сигналы светофора, Вы должны остановиться и можете продолжить движение только при открытом положении шлагбаума (пункт 15.3 ПДД РФ)",https://vk.com/video-219391172_456240334?list=ln-LgodbiImvYtbp8Cv22,,,,,,
610,24,17,Фары и сигнал,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,На каком расстоянии до встречного транспортного средства следует переключать дальний свет фар на ближний?,По усмотрению водителя.,Не менее чем за 150 м.,Не менее чем за 300 м.,,2,Правила обязывают во избежание ослепления водителя встречного ТС переключить свет с дальнего на ближний не менее чем за 150 м до ТС (пункт 19.2 ПДД РФ).,https://vk.com/video-219391172_456240335?list=ln-IZs5tREzrxcS9BFCC1,,,,,,
611,24,18,Неисправности и запрет,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,В каком случае разрешается эксплуатация легкового автомобиля?,Не работает указатель температуры охлаждающей жидкости.,"Имеются видимые разрушения, короткие замыкания и следы пробоя изоляции электрических проводов.","Государственный регистрационный знак, способ и место его установки не отвечают требованиям национального стандарта.","Отсутствуют опознавательные знаки, которые должны быть на нем установлены.",1,"Эксплуатация ТС запрещается в следующих случаях: если имеются видимые разрушения, короткие замыкания и следы пробоя изоляции электрических проводов (пункт 9.6 ПДД РФ); государственный регистрационный знак ТС, способ и место его установки не отвечают требованиям национального стандарта ГОСТ Р 50577-2018 (пункт 10.1 ПДД РФ); отсутствуют опознавательные знаки, которые должны быть установлены в соответствии с п.8 Основных положений (пункт 10.2 ПДД РФ). Эксплуатация ТС, у которого не работает указатель температуры охлаждающей жидкости, не запрещена.",https://vk.com/video-219391172_456240336?list=ln-uCkZTZEBZbsSaNNRcf,,,,,,
612,24,19,Основы безопасности,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,"Что следует сделать водителю, чтобы предотвратить возникновение заноса при проезде крутого поворота?","Перед поворотом снизить скорость, при необходимости включить пониженную передачу, а при проезде поворота не увеличивать резко скорость и не тормозить.",Допускаются любые из перечисленных действий.,"Перед поворотом снизить скорость и выжать педаль сцепления, чтобы дать возможность автомобилю двигаться накатом на повороте.",,1,"Занос автомобиля при проезде крутого поворота возникает под действием центробежной силы, которая возрастает с увеличением скорости движения. Поэтому для предотвращения возможного заноса водитель должен с учетом крутизны поворота заблаговременно снизить скорость, при необходимости включить пониженную передачу и проехать поворот, не прибегая к резкому увеличению скорости и торможению. Прохождение поворота с выключенным сцеплением приведет к потере контроля над управлением автомобилем.",https://vk.com/video-219391172_456240337?list=ln-3IGfqZPcul2c3V5wmP,,,,,,
613,24,20,Медицина,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,Разрешено ли давать пострадавшему лекарственные средства при оказании ему первой помощи?,Разрешено.,Запрещено.,Разрешено в случае крайней необходимости.,,2,"Лекарственные средства в автомобильной аптечке отсутствуют, так как по действующему законодательству их запрещено использовать при оказании первой помощи. Тем более опасно давать лекарства пострадавшему, находящемуся в бессознательном состоянии, так как у него отсутствует глотательный рефлекс и любое жидкое или твердое вещество может попасть в дыхательные пути, а не в желудок.",https://vk.com/video-219391172_456240338?list=ln-MUAOGf0qZjq3Swu8Lh,,,,,,
614,25,1,Общие положения,https://pdd-exam.ru/img/pdd-online/bilet25-1.jpg,На каком рисунке изображена дорога с разделительной полосой?,На обоих рисунках дорога с разделительной полосой не изображена.,Только на правом.,На обоих.,,3,"Разделительная полоса представляет собой элемент дороги, выделенный конструктивно (правый рисунок) или с помощью сплошных линий разметки 1.2 (левый рисунок). Разделительная полоса отделяет друг от друга смежные проезжие части и не предназначена для движения и остановки ТС (пункт 1.2 ПДД РФ).",https://vk.com/video-219391172_456240339?list=ln-g66HCnNpaFAJWwXIFe,,,,,,
615,25,2,Предписывающие знаки,https://pdd-exam.ru/img/pdd-online/bilet25-2.jpg,"Вам разрешено продолжить движение на грузовом автомобиле с разрешенной максимальной массой не более 3,5 т:",Прямо и направо.,Только прямо.,Во всех направлениях.,,3,"Табличка 8.4.1 «Вид транспортного средства» с изображением грузового автомобиля распространяет действие предписывающего знака 4.1.1 «Движение прямо» только на грузовые автомобили с разрешенной максимальной массой более 3,5 т. Таким образом, Вы можете проехать перекресток в любом направлении.",https://vk.com/video-219391172_456240340?list=ln-oE4gQd74GVDzzUjUGp,,,,,,
616,,,Знаки Таблички,https://pdd-exam.ru/img/pdd-online/bilet25-2.jpg,"Вам разрешено продолжить движение на грузовом автомобиле с разрешенной максимальной массой не более 3,5 т:",Прямо и направо.,Только прямо.,Во всех направлениях.,,3,"Табличка 8.4.1 «Вид транспортного средства» с изображением грузового автомобиля распространяет действие предписывающего знака 4.1.1 «Движение прямо» только на грузовые автомобили с разрешенной максимальной массой более 3,5 т. Таким образом, Вы можете проехать перекресток в любом направлении.",None,,,,,,
617,25,3,Запрещающие знаки,https://pdd-exam.ru/img/pdd-online/bilet25-3.jpg,"Какие из указанных знаков отменяют все ограничения, введенные ранее запрещающими знаками?",Только В.,В и Г.,Все.,А и Б.,1,"Из четырех представленных знаков только знак В (3.31 «Конец зоны всех ограничений») отменяет все ограничения, введенные ранее другими запрещающими знаками. Остальные знаки: А (3.21 «Конец зоны запрещения обгона»), Б (3.23 «Конец зоны запрещения обгона грузовым автомобилям») и Г (2.2 «Конец главной дороги») отменяют действия соответствующих знаков.",https://vk.com/video-219391172_456240341?list=ln-5zIQr5p0hQF7fSGBTk,,,,,,
618,25,4,Знаки Особых предписаний,https://pdd-exam.ru/img/pdd-online/bilet25-4.jpg,"Этот знак указывает, что:",Вправо и влево от перекрестка организовано одностороннее движение.,Вы должны повернуть направо или налево.,На пересекаемой дороге организовано реверсивное движение.,,3,"Перед Вами перекресток, где на средней полосе пересекаемой дороги осуществляется реверсивное движение, т.е. направление движения может изменяться на противоположное. Об этом Вас информируют знак 5.10 «Выезд на дорогу с реверсивным движением» и двойные прерывистые линии разметки 1.9 , обозначающие границы средней полосы.",https://vk.com/video-219391172_456240342?list=ln-ppCiSNyBF8Y8FPn8go,,,,,,
619,25,5,Дорожная разметка,https://pdd-exam.ru/img/pdd-online/bilet25-5.jpg,Какой маневр Вам запрещается выполнить при наличии данной линии разметки?,Разворот.,Обгон.,Разрешаются все перечисленные маневры.,Объезд.,3,"Прерывистая линия разметки 1.5 в данной ситуации разделяет транспортные потоки противоположных направлений на дороге, имеющей две полосы, и не запрещает Вам выполнить какой-либо маневр.",https://vk.com/video-219391172_456240343?list=ln-BY2WAZX3DU7plgabpB,,,,,,
620,25,6,Светофор и регулировщик,https://pdd-exam.ru/img/pdd-online/bilet25-6.jpg,Сигналы такого светофора распространяются:,"На трамваи, а также другие транспортные средства, движущиеся по полосе для маршрутных транспортных средств.",На все маршрутные транспортные средства.,Только на трамваи.,,1,"Светофор в виде буквы «Т» с четырьмя сигналами бело-лунного цвета применяется для регулирования движения трамваев, а также других маршрутных ТС в случае, когда их движение осуществляется по специально выделенной для них полосе (пункт 6.8 ПДД РФ). На все остальные ТС действие этого светофора не распространяется.",https://vk.com/video-219391172_456240344?list=ln-GfbyKUeRz2Jx24hBZo,,,,,,
621,25,7,Светофор и регулировщик,https://pdd-exam.ru/img/pdd-online/bilet25-7.jpg,Обязаны ли Вы включить указатели поворота в данной ситуации?,Не обязаны.,Обязаны.,Обязаны только при наличии на перекрестке других транспортных средств.,,2,"На данном перекрестке, руководствуясь знаком 4.1.2 «Движение направо», Вы можете продолжить движение только направо. При этом Вы обязаны включить соответствующие этому маневру световые указатели правого поворота (пункт 8.1 ПДД РФ).",https://vk.com/video-219391172_456240345?list=ln-wX8z2KAqjhqWXXozTD,,,,,,
622,25,8,Перестроение,https://pdd-exam.ru/img/pdd-online/bilet25-8.jpg,Кто должен уступить дорогу?,Водитель легкового автомобиля.,Водитель грузового автомобиля.,,,2,"Поскольку впереди сужение дороги, о чем предупреждает знак 1.20.2 «Сужение дороги», водителю грузового автомобиля придется перестроиться на соседнюю полосу, а при перестроении он должен уступить дорогу легковому автомобилю, движущемуся попутно без изменения направления движения (пункт 8.4 ПДД РФ).",https://vk.com/video-219391172_456240346?list=ln-IAnxwsYVdGtqWqZlHx,,,,,,
623,25,9,Движение задним ходом,https://pdd-exam.ru/img/pdd-online/bilet25-9.jpg,"Водитель случайно проехал перекресток. Разрешено ли ему в этой ситуации использовать задний ход, чтобы затем продолжить движение налево?","Разрешено, если при этом не будут созданы помехи для других участников дорожного движения.",Запрещено.,Разрешено.,,2,"Проехав перекресток, Вы не можете двигаться задним ходом, поскольку на перекрестках движение задним ходом запрещено (пункт 8.12 ПДД РФ).",https://vk.com/video-219391172_456240347?list=ln-Bzl6dgITZ6ozoGIsik,,,,,,
624,25,10,Скорость движения,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,Каким автомобилям и в каких случаях разрешается движение вне населенных пунктов со скоростью не более 90 км/ч?,"Легковым автомобилям и грузовым автомобилям с разрешенной максимальной массой не более 3,5 т на всех дорогах, кроме автомагистралей.",Легковым автомобилям при буксировке прицепа на автомагистралях.,Всем перечисленным автомобилям в указанных случаях.,,3,"Вне населенных пунктов со скоростью не более 90 км/ч разрешается движение автомобилям в следующих случаях: легковым автомобилям — на всех дорогах, кроме автомагистралей, а на автомагистралях — только при буксировке прицепа; грузовым автомобилям с разрешенной максимальной массой не более 3,5 т — на всех дорогах, кроме автомагистралей (пункт 10.3 ПДД РФ).",https://vk.com/video-219391172_456240348?list=ln-MWZQXQ4qmtIFTixFQ2,,,,,,
625,25,11,Обгон. Опережение. Встречный разъезд,https://pdd-exam.ru/img/pdd-online/bilet25-11.jpg,Можно ли Вам выполнить обгон?,Нельзя.,"Можно, если скорость грузового автомобиля менее 30 км/ч.",Можно.,,1,"Обгон запрещен на участках дорог с ограниченной видимостью (пункт 11.4 ПДД РФ). Поскольку дорога впереди поворачивает налево и видимость ограничена, то выполнить обгон грузового автомобиля в данной ситуации нельзя.",https://vk.com/video-219391172_456240349?list=ln-805fARUdzrSSdf89vP,,,,,,
626,25,12,Остановка,https://pdd-exam.ru/img/pdd-online/bilet25-12.jpg,Разрешена ли остановка в этом месте?,Запрещена.,Разрешена.,"Разрешена, если расстояние между транспортным средством и сплошной линией разметки не менее 3 м.",,1,"От места предполагаемой остановки до края пересекаемой проезжей части ровно 5 м. Остановка перед перекрестком запрещена, если это расстояние менее 5 м. Однако остановка в указанном месте все же запрещена, поскольку расстояние между Вашим ТС и пешеходным переходом будет менее 5 м, что является нарушением Правил (пункт 12.4 ПДД РФ). Соблюдение установленного Правилами расстояния между ТС и сплошной линией разметки в данном случае значения не имеет.",https://vk.com/video-219391172_456240350?list=ln-SZ4zZtUm0kFhZsliNz,,,,,,
627,25,13,Светофор и регулировщик,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,Значения каких дорожных знаков отменяются сигналами светофора?,Предписывающих знаков.,Запрещающих знаков.,Знаков приоритета.,Всех перечисленных знаков.,3,"Перекресток, на котором очередность движения определяется сигналами светофора - регулируемый (пункт 13.3 ПДД РФ). Знаки приоритета, устанавливающие очередность проезда нерегулируемых перекрестков, в данном случае не действуют (пункт 6.15 ПДД РФ). Требования других дорожных знаков сигналы светoфора не отменяют.",https://vk.com/video-219391172_456240351?list=ln-7HVXjAElFPcojQ1NjK,,,,,,
628,25,14,Проезд равнозначного перекрестка,https://pdd-exam.ru/img/pdd-online/bilet25-14.jpg,При повороте направо Вы должны уступить дорогу:,Только пешеходам.,Только велосипедисту.,Пешеходам и велосипедисту.,,3,"На любых перекрестках при повороте Вы должны уступить дорогу как пешеходам, так и велосипедистам (пункт 13.1 ПДД РФ).",https://vk.com/video-219391172_456240352?list=ln-fc4Dyxv32eQxTImfC0,,,,,,
629,25,15,Знаки Таблички,https://pdd-exam.ru/img/pdd-online/bilet25-15.jpg,Вы намерены повернуть налево. Кому Вы обязаны уступить дорогу?,Никому.,Легковому автомобилю и автобусу.,Только легковому автомобилю.,Всем транспортным средствам.,3,"На этом перекрестке неравнозначных дорог (знаки 2.1 «Главная дорога» и 8.13 «Направление главной дороги») Вы должны уступить дорогу только легковому автомобилю, находящемуся справа, который, так же как и Вы, движется по главной дороге, поэтому с ним нужно разъезжаться по правилам проезда перекрестков равнозначных дорог (пункт 13.10 ПДД РФ и пункт 13.11 ПДД РФ). Мотоцикл и автобус уступают дорогу Вам, поскольку подъезжают к перекрестку по второстепенным дорогам (пункт 13.9 ПДД РФ).",https://vk.com/video-219391172_456240353?list=ln-E8niamjlQCeA5OxgN7,,,,,,
630,,,Проезд неравнозначного перекрестка,https://pdd-exam.ru/img/pdd-online/bilet25-15.jpg,Вы намерены повернуть налево. Кому Вы обязаны уступить дорогу?,Никому.,Легковому автомобилю и автобусу.,Только легковому автомобилю.,Всем транспортным средствам.,3,"На этом перекрестке неравнозначных дорог (знаки 2.1 «Главная дорога» и 8.13 «Направление главной дороги») Вы должны уступить дорогу только легковому автомобилю, находящемуся справа, который, так же как и Вы, движется по главной дороге, поэтому с ним нужно разъезжаться по правилам проезда перекрестков равнозначных дорог (пункт 13.10 ПДД РФ и пункт 13.11 ПДД РФ). Мотоцикл и автобус уступают дорогу Вам, поскольку подъезжают к перекрестку по второстепенным дорогам (пункт 13.9 ПДД РФ).",None,,,,,,
631,25,16,Специальные режимы движения,https://pdd-exam.ru/img/pdd-online/bilet25-16.jpg,Как Вам следует поступить в данной ситуации?,Проехать железнодорожный переезд без остановки перед знаком.,"Остановиться перед знаком и продолжить движение, убедившись в отсутствии приближающегося поезда.",Остановиться перед знаком и продолжить движение сразу же после проезда поезда.,,2,"Вам необходимо остановиться у знака 2.5 «Движение без остановки запрещено», так как стоп-линия отсутствует (п. 15.4). С учетом наличия многопутной железной дороги (знак 1.3.2 ) Вы можете продолжить движение после проезда состава, только убедившись в отсутствии приближающегося поезда (п. 15.2).",https://vk.com/video-219391172_456240354?list=ln-rLGCeFziWBl6zOjspN,,,,,,
632,25,17,Сигналы поворота,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,Привлечь внимание водителя обгоняемого автомобиля при движении в населенном пункте в светлое время суток можно:,Любым из перечисленных способов.,Только звуковым сигналом.,Только кратковременным переключением фар с ближнего света на дальний.,Только совместной подачей звукового и светового сигналов.,3,В качестве предупредительного сигнала для привлечения внимания обгоняемого водителя в населенном пункте можно использовать лишь кратковременное переключение фар с ближнего света на дальний (пункт 19.11 ПДД РФ). В этом случае применять звуковой сигнал запрещено (пункт 19.10 ПДД РФ).,https://vk.com/video-219391172_456240355?list=ln-PxgsjimZKcRHiAON3M,,,,,,
633,,,Фары и сигнал,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,Привлечь внимание водителя обгоняемого автомобиля при движении в населенном пункте в светлое время суток можно:,Любым из перечисленных способов.,Только звуковым сигналом.,Только кратковременным переключением фар с ближнего света на дальний.,Только совместной подачей звукового и светового сигналов.,3,В качестве предупредительного сигнала для привлечения внимания обгоняемого водителя в населенном пункте можно использовать лишь кратковременное переключение фар с ближнего света на дальний (пункт 19.11 ПДД РФ). В этом случае применять звуковой сигнал запрещено (пункт 19.10 ПДД РФ).,None,,,,,,
634,25,18,Неисправности и запрет,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,В каком случае запрещается эксплуатация транспортного средства?,Затруднен пуск двигателя.,Звуковой сигнальный прибор неисправен.,Не работает указатель уровня топлива.,Нарушена регулировка угла опережения зажигания.,2,"Если звуковой сигнальный прибор неисправен, то эксплуатация ТС запрещается (Перечень, п. 9.3). Остальные перечисленные неисправности не являются причиной для запрещения эксплуатации ТС",https://vk.com/video-219391172_456240356?list=ln-Nke1zYevgPilQvr5Sz,,,,,,
635,25,19,Основы безопасности,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,Как зависит величина тормозного пути транспортного средства от скорости движения?,Не зависит.,Увеличивается пропорционально скорости.,Увеличивается пропорционально квадрату скорости.,,3,"Тормозной путь зависит от скорости движения, значений коэффициента сцепления шины с дорогой и некоторых других параметров. Так, величина тормозного пути прямо пропорциональна величине квадрата скорости движения и обратно пропорциональна значениям коэффициента сцепления шины с дорогой (для сухого асфальтобетонного покрытия он равен в среднем 0,7; для мокрого — 0,4; для укатанного снежного покрытия — 0,2; для обледенелого покрытия — 0,1).",https://vk.com/video-219391172_456240357?list=ln-RqaHzLIurmCr6f6fZP,,,,,,
636,25,20,Медицина,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,Как остановить кровотечение при ранении вены и некрупных артерий?,Наложить жгут ниже места ранения.,Наложить жгут выше места ранения.,Наложить давящую повязку на место ранения.,,3,"Давление в венах и некрупных артериях невелико, поэтому кровь вытекает из них медленно, без толчков. Для остановки кровотечения достаточно наложить на рану давящую повязку. При пропитывании повязки кровью ее дополняют новыми слоями.",https://vk.com/video-219391172_456240358?list=ln-GdHfT3DkU6keie6hcL,,,,,,
637,26,1,Общие положения,https://pdd-exam.ru/img/pdd-online/bilet26-1.jpg,Выезд из двора или с другой прилегающей территории:,Считается перекрестком неравнозначных дорог.,Не считается перекрестком.,Считается перекрестком равнозначных дорог.,,2,"Согласно определению термина «Перекресток», выезд с прилегающей территории не считается перекрестком (пункт 1.2 ПДД РФ). К подобным выездам относятся выезды из дворов, жилых массивов, автостоянок, АЗС, предприятий и т.п.",https://vkvideo.ru/video-219391172_456240387?list=ln-CfSFJaR7F88e9AtUzQ,,,,,,
638,,,Специальные режимы движения,https://pdd-exam.ru/img/pdd-online/bilet26-1.jpg,Выезд из двора или с другой прилегающей территории:,Считается перекрестком неравнозначных дорог.,Не считается перекрестком.,Считается перекрестком равнозначных дорог.,,2,"Согласно определению термина «Перекресток», выезд с прилегающей территории не считается перекрестком (пункт 1.2 ПДД РФ). К подобным выездам относятся выезды из дворов, жилых массивов, автостоянок, АЗС, предприятий и т.п.",None,,,,,,
